tipo_de_cultivo,ph,tipo_de_suelo,humedad,temperatura,precipitacion,horas_de_sol,temporada
zanahoria,6.26,limoso,75.43,1.0,286.09,2.3,primavera
maiz,6.67,arcilloso,91.84,19.0,105.7,1.5,invierno
lentejas,6.53,arenoso,95.09,16.0,12.93,0.3,primavera
naranjas,6.54,arenoso,57.71,6.0,53.73,14.0,invierno
naranjas,6.23,arenoso,35.71,26.0,117.67,3.8,otoño
trigo,6.15,rocoso,78.75,39.0,284.33,3.4,otoño
trigo,6.17,rocoso,25.1,22.0,42.36,11.8,primavera
lentejas,6.79,arcilloso,56.41,29.0,229.05,5.1,otoño
uva,5.84,arcilloso,35.86,3.0,32.6,8.1,verano
lentejas,6.67,rocoso,65.66,17.0,294.38,2.6,otoño
trigo,6.38,arcilloso,24.04,5.0,114.48,15.4,verano
naranjas,6.24,limoso,19.16,25.0,232.57,13.6,otoño
arroz,6.53,limoso,91.82,38.0,102.78,13.8,primavera
lentejas,6.29,rocoso,10.18,26.0,188.3,6.5,primavera
naranjas,6.67,arcilloso,50.6,3.0,57.6,12.2,verano
arroz,6.7,arenoso,22.09,14.0,43.81,2.3,primavera
arroz,6.22,limoso,3.89,22.0,281.42,0.1,otoño
trigo,6.08,rocoso,3.6,16.0,275.29,0.3,otoño
lentejas,6.39,arcilloso,17.52,33.0,266.24,9.4,primavera
soja,6.71,rocoso,86.68,33.0,187.63,7.3,otoño
maiz,6.01,arenoso,28.25,24.0,242.48,8.3,invierno
trigo,6.42,limoso,95.05,15.0,20.71,0.1,invierno
trigo,6.43,rocoso,58.16,10.0,100.44,6.8,otoño
soja,6.53,rocoso,43.66,4.0,94.11,11.5,primavera
maiz,5.93,rocoso,58.01,14.0,190.69,7.1,verano
naranjas,6.52,arenoso,51.67,17.0,106.79,11.7,primavera
uva,6.71,rocoso,75.88,27.0,44.55,3.7,verano
lentejas,5.98,arenoso,28.25,26.0,178.94,13.0,primavera
uva,6.04,arenoso,35.31,3.0,244.32,9.4,otoño
naranjas,6.77,arenoso,89.41,16.0,114.64,3.4,invierno
zanahoria,5.98,limoso,94.65,7.0,39.68,3.8,primavera
trigo,6.65,limoso,89.26,6.0,59.01,10.0,verano
maiz,6.29,rocoso,41.94,33.0,71.24,13.3,invierno
trigo,6.05,rocoso,78.04,2.0,89.97,6.7,verano
arroz,6.67,limoso,47.63,17.0,192.84,4.1,otoño
trigo,6.25,arcilloso,49.75,7.0,180.28,13.9,invierno
trigo,6.31,limoso,20.47,35.0,208.82,10.7,verano
naranjas,6.16,arenoso,59.11,22.0,108.75,7.2,primavera
naranjas,6.39,limoso,18.61,9.0,247.2,7.8,otoño
naranjas,5.96,arenoso,33.16,20.0,61.23,3.3,otoño
uva,6.19,rocoso,85.5,29.0,140.71,10.0,otoño
arroz,6.77,arcilloso,20.71,38.0,240.28,5.7,primavera
zanahoria,6.06,rocoso,7.12,9.0,54.05,15.9,primavera
zanahoria,6.46,arenoso,6.9,35.0,32.96,7.7,invierno
naranjas,6.13,arenoso,94.08,37.0,265.11,7.8,primavera
maiz,6.57,arenoso,50.69,37.0,102.88,9.1,invierno
uva,5.93,arcilloso,40.94,25.0,205.16,14.7,otoño
soja,6.77,limoso,81.09,25.0,7.6,12.8,invierno
maiz,6.25,rocoso,83.58,16.0,207.01,7.2,verano
lentejas,6.04,rocoso,33.22,30.0,94.83,11.5,otoño
lentejas,5.87,limoso,69.36,21.0,16.72,9.4,otoño
maiz,5.97,rocoso,77.11,27.0,182.94,7.9,invierno
naranjas,6.32,arcilloso,65.47,17.0,72.24,3.1,otoño
soja,6.14,rocoso,15.16,29.0,116.04,7.4,primavera
soja,6.63,arenoso,87.59,33.0,24.17,3.9,verano
uva,6.23,limoso,53.91,6.0,44.15,14.6,invierno
soja,6.05,arcilloso,28.25,33.0,89.39,5.4,invierno
lentejas,6.42,limoso,42.52,22.0,26.93,15.2,otoño
arroz,6.51,arcilloso,3.76,34.0,273.25,8.5,primavera
naranjas,5.97,arenoso,12.79,17.0,1.81,10.1,otoño
soja,5.97,limoso,76.55,15.0,145.16,8.7,otoño
uva,5.84,rocoso,0.0,37.0,36.97,2.1,invierno
lentejas,6.54,arcilloso,41.66,10.0,92.3,6.0,otoño
arroz,6.46,limoso,52.25,34.0,277.82,1.6,verano
trigo,6.27,rocoso,5.46,19.0,48.51,10.0,otoño
trigo,6.64,limoso,97.31,21.0,289.75,7.1,otoño
arroz,6.61,limoso,22.61,12.0,61.74,12.4,invierno
lentejas,6.39,limoso,30.42,23.0,222.47,3.5,otoño
uva,6.67,arcilloso,30.39,13.0,164.0,2.6,primavera
arroz,6.01,rocoso,23.04,2.0,265.34,6.5,invierno
naranjas,5.91,arenoso,0.15,11.0,166.2,14.8,otoño
naranjas,6.07,arcilloso,72.93,0.0,160.37,11.4,verano
trigo,5.86,arcilloso,96.68,39.0,58.64,6.7,verano
soja,6.33,arcilloso,22.43,39.0,49.87,8.3,invierno
uva,6.74,arenoso,66.3,16.0,274.95,1.3,invierno
trigo,5.84,rocoso,74.19,29.0,98.35,15.8,otoño
soja,5.92,rocoso,84.84,14.0,111.62,10.7,primavera
soja,6.25,rocoso,42.26,27.0,227.95,4.6,otoño
zanahoria,6.73,limoso,30.29,32.0,101.65,9.4,verano
naranjas,6.12,limoso,32.53,38.0,285.62,1.8,primavera
lentejas,6.31,limoso,71.26,16.0,221.38,15.5,primavera
maiz,5.84,arenoso,81.68,31.0,179.23,2.8,primavera
lentejas,5.95,limoso,18.16,11.0,264.27,10.4,otoño
maiz,6.79,arenoso,37.09,40.0,14.88,3.9,verano
arroz,6.77,rocoso,90.19,1.0,77.12,11.5,invierno
naranjas,5.8,limoso,80.67,24.0,139.51,12.4,otoño
soja,6.75,limoso,98.49,26.0,68.09,10.8,invierno
uva,6.44,arcilloso,75.42,28.0,223.17,9.8,primavera
maiz,6.67,arenoso,39.32,5.0,275.76,14.3,primavera
lentejas,6.25,rocoso,59.06,38.0,127.13,1.3,otoño
soja,6.32,arcilloso,66.1,7.0,102.64,5.3,verano
maiz,6.29,arcilloso,7.85,25.0,288.47,4.0,primavera
maiz,6.47,rocoso,54.45,9.0,133.46,15.8,invierno
zanahoria,5.94,arcilloso,70.93,12.0,146.71,6.2,invierno
maiz,5.83,arenoso,16.73,22.0,105.49,11.7,otoño
uva,6.11,arenoso,78.06,17.0,272.86,11.0,invierno
naranjas,6.5,limoso,58.38,6.0,170.69,3.4,verano
uva,6.0,arcilloso,95.22,7.0,228.65,3.8,primavera
trigo,6.47,limoso,4.24,17.0,243.54,4.5,invierno
soja,6.77,arcilloso,26.53,30.0,102.55,6.6,invierno
naranjas,5.89,arenoso,60.16,36.0,130.11,3.7,primavera
zanahoria,6.47,arenoso,29.66,3.0,254.54,0.3,otoño
naranjas,6.24,arenoso,71.44,16.0,108.98,14.1,invierno
naranjas,6.67,arcilloso,75.9,4.0,238.18,15.4,otoño
lentejas,5.98,arenoso,10.25,1.0,282.3,5.5,otoño
naranjas,6.49,arcilloso,51.39,26.0,186.96,5.4,invierno
zanahoria,6.64,limoso,50.89,24.0,222.49,0.1,verano
uva,6.74,arcilloso,36.93,7.0,241.53,10.9,otoño
naranjas,6.48,limoso,93.29,9.0,253.51,13.2,invierno
arroz,6.3,arcilloso,82.75,1.0,118.52,2.3,otoño
soja,6.42,limoso,69.72,33.0,15.38,2.6,primavera
naranjas,6.67,arenoso,71.43,39.0,120.56,12.6,verano
soja,6.37,limoso,46.17,5.0,202.13,9.9,verano
arroz,5.83,arenoso,92.1,9.0,135.11,0.7,primavera
arroz,6.73,arenoso,69.46,35.0,224.69,10.0,primavera
soja,6.49,limoso,72.9,37.0,107.09,4.9,otoño
maiz,6.48,arcilloso,86.17,17.0,190.42,5.9,primavera
trigo,6.02,arcilloso,27.41,2.0,55.93,12.3,verano
lentejas,6.46,rocoso,80.71,2.0,224.81,13.0,primavera
maiz,6.19,arcilloso,19.52,23.0,163.71,6.4,invierno
maiz,6.45,rocoso,34.53,16.0,61.22,15.2,invierno
uva,5.91,arcilloso,33.56,1.0,87.57,6.5,otoño
lentejas,6.46,arcilloso,97.85,23.0,224.58,12.3,verano
lentejas,6.8,arenoso,85.65,0.0,144.78,7.7,invierno
maiz,5.85,rocoso,70.12,31.0,64.81,14.4,primavera
naranjas,6.78,arcilloso,72.71,12.0,290.18,14.5,invierno
uva,6.21,rocoso,56.21,2.0,214.54,1.4,invierno
uva,6.67,arenoso,94.71,24.0,287.14,15.0,otoño
arroz,6.58,arenoso,49.63,16.0,128.13,13.2,primavera
zanahoria,6.37,rocoso,38.05,39.0,142.53,12.7,primavera
lentejas,6.54,arenoso,16.3,22.0,269.39,3.2,primavera
maiz,6.68,limoso,78.62,11.0,157.51,12.9,otoño
arroz,6.2,limoso,73.44,28.0,212.18,13.6,primavera
soja,6.13,arenoso,38.44,11.0,75.65,4.6,primavera
trigo,6.47,limoso,2.52,36.0,134.02,15.2,invierno
zanahoria,6.61,arcilloso,83.9,15.0,37.03,0.8,invierno
zanahoria,6.56,rocoso,1.14,22.0,61.79,2.4,primavera
zanahoria,6.6,arcilloso,70.37,2.0,0.28,8.6,verano
uva,6.24,rocoso,97.03,17.0,11.78,9.2,verano
soja,6.62,arenoso,43.77,33.0,293.19,10.3,primavera
zanahoria,5.92,arcilloso,23.5,32.0,72.71,0.3,verano
soja,6.34,arenoso,70.49,9.0,198.99,15.4,otoño
naranjas,5.81,arenoso,81.71,9.0,251.73,0.7,invierno
zanahoria,6.12,rocoso,54.64,33.0,165.2,2.3,otoño
trigo,6.17,rocoso,96.7,37.0,45.94,0.2,invierno
soja,6.2,rocoso,5.17,4.0,218.43,9.1,verano
soja,6.5,arcilloso,50.48,18.0,180.08,14.9,verano
trigo,6.19,limoso,71.85,13.0,219.38,10.7,primavera
zanahoria,6.25,rocoso,86.26,35.0,230.92,13.2,verano
trigo,6.04,rocoso,17.93,3.0,292.62,0.2,verano
soja,6.17,arcilloso,80.0,8.0,172.07,8.7,primavera
trigo,6.03,rocoso,55.27,30.0,102.49,7.4,primavera
soja,5.87,arcilloso,39.66,2.0,194.54,8.0,invierno
soja,6.4,arenoso,13.17,20.0,20.53,1.2,verano
naranjas,6.47,rocoso,86.53,18.0,269.22,11.0,invierno
maiz,6.42,rocoso,15.73,13.0,35.81,8.1,invierno
soja,6.26,arenoso,30.98,16.0,98.35,12.2,otoño
zanahoria,6.18,arenoso,29.0,21.0,244.72,7.8,verano
arroz,6.66,arenoso,87.14,6.0,179.19,2.4,verano
